t_rel_s,sim_Little_deg,real_Little_deg
2.9520,6.8754,0.0000
2.9560,6.8756,0.0000
2.9600,6.8754,0.0000
2.9640,6.8756,0.0000
2.9680,6.8754,0.0000
2.9720,6.8756,0.0000
2.9760,6.8754,0.0000
2.9800,6.8756,0.0000
2.9840,6.8754,0.0000
2.9880,6.8756,0.0000
2.9920,6.8754,0.0000
2.9960,6.8756,0.0000
3.0000,6.8754,0.0000
3.0040,6.8756,0.0000
3.0080,6.8754,0.0000
3.0120,6.8756,0.0000
3.0160,6.8754,0.0000
3.0200,6.8756,0.0000
3.0240,6.8754,0.0000
3.0280,6.8756,0.0000
3.0320,6.8754,0.0000
3.0360,6.8756,0.0000
3.0400,6.8754,0.0000
3.0440,6.8756,0.0000
3.0480,6.8754,0.0000
3.0520,6.8756,0.0000
3.0560,6.8754,0.0000
3.0600,6.8756,0.0000
3.0640,6.8754,0.0000
3.0680,6.8756,0.0000
3.0720,6.8754,0.0000
3.0760,6.8756,0.0000
3.0800,6.8754,0.0000
3.0840,6.8756,0.0000
3.0880,6.8754,0.0000
3.0920,6.8756,0.0000
3.0960,6.8754,0.0000
3.1000,6.8756,0.0000
3.1040,6.8754,0.0000
3.1080,6.8756,0.0000
3.1120,6.8754,0.0000
3.1160,6.8756,0.0000
3.1200,6.8754,0.0000
3.1240,6.8756,0.0000
3.1280,6.8754,0.0000
3.1320,6.8756,0.0000
3.1360,6.8754,0.0000
3.1400,6.8756,0.0000
3.1440,6.8754,0.0000
3.1480,6.8756,0.0000
3.1520,6.8754,0.0000
3.1560,6.8756,0.0000
3.1600,6.8754,0.0000
3.1640,6.8756,0.0000
3.1680,6.8754,0.0000
3.1720,6.8756,0.0000
3.1760,6.8754,0.0000
3.1800,6.8756,0.0000
3.1840,6.8754,0.0000
3.1880,6.8756,0.0000
3.1920,6.8754,0.0000
3.1960,6.8756,0.0000
3.2000,6.8754,0.0000
3.2040,6.8756,0.0000
3.2080,6.8754,0.0000
3.2120,6.8756,0.0000
3.2160,6.8754,0.0000
3.2200,6.8756,0.0000
3.2240,6.8754,0.0000
3.2280,6.8756,0.0000
3.2320,6.8754,0.0000
3.2360,6.8756,0.0000
3.2400,6.8754,0.0000
3.2440,6.8756,0.0000
3.2480,6.8754,0.0000
3.2520,6.8756,0.0000
3.2560,6.8754,0.0000
3.2600,6.8756,0.0000
3.2640,6.8754,0.0000
3.2680,6.8756,0.0000
3.2720,6.8754,0.0000
3.2760,6.8756,0.0000
3.2800,6.8754,0.0000
3.2840,6.8756,0.0000
3.2880,6.8755,0.0000
3.2920,6.8756,0.0000
3.2960,6.8754,0.0000
3.3000,6.8756,0.0000
3.3040,6.8754,0.0000
3.3080,6.8756,0.0000
3.3120,6.8754,0.0000
3.3160,6.8756,0.0000
3.3200,6.8754,0.0000
